1;"WGiG"
2;"WIMiIP"
3;"WEAIiIB"
4;"WIEiT"
5;"WIMiR"
6;"WGGiOŒ"
7;"GGiIŒ"
8;"WIMiC"
9;"WO"
10;"WMN"
11;"WWNiG"
12;"WZ"
13;"WEiP"
14;"WFiIS"
15;"WMS"
16;"WH"
17;"SJO"
18;"SWFiS"
