2;1;1;1;Geometria wykreœlna;28;2
2;1;1;2;BHP i ergonomia;28;2
2;1;1;3;Matematyka 1;84;9
2;1;1;4;Chemia;56;6
2;1;1;5;Geologia, mineralogia i petrografia;56;5
2;1;1;6;Zarys górnictwa;42;2
2;1;1;7;Technologia informacyjna;28;2
2;1;1;8;Podstawy ekonomii;28;2
2;1;2;1;Grafika in¿ynierska i rysunek techniczny;42;3
2;1;2;2;Geodezja i kartografia górnicza;42;4
2;1;2;3;Górnictwo odkrywkowe i otworowe;70;5
2;1;2;4;Wiertnictwo i technologie bezwykopowe;42;2
2;1;2;5;Ochrona Œrodowiska;28;2
2;1;2;6;Matematyka 2;56;6
2;1;2;7;Fizyka 1;56;6
2;1;2;8;Nurkowanie- historia i podbój g³êbin a eksploatacja podwodna;28;2
2;1;2;9;Górnictwo morskie;28;2
2;1;2;10;Wszechœwiat - pocz¹tek, ewolucja, cz³owiek;28;2
2;1;2;11;Katastrofy górnicze;28;2
2;1;2;12;Historia i tradycje górnictwa;28;2
2;1;3;1;Mechanika techniczna;56;5
2;1;3;2;Materia³oznawstwo;28;2
2;1;3;3;Ekonomika przedsiêbiorstwa górniczego;42;3
2;1;3;4;Górnictwo podziemne;70;5
2;1;3;5;Geofizyka górnicza;28;2
2;1;3;6;Przeróbka surowców mineralnych;56;5
2;1;3;7;In¿ynierskie metody obliczeniowe;28;2
2;1;3;8;Fizyka 2;28;3
2;1;3;9;Miêdzynarodowe rynki surowców mineralnych;28;3
2;1;3;10;Odkrywkowa eksploatacja rud;28;3
2;1;4;1;Wytrzyma³oœæ materia³ów;56;5
2;1;4;2;Elektrotechnika i podstawy automatyki;56;5
2;1;4;3;Mechanika p³ynów i termodynamika;56;5
2;1;4;4;Technika strzelnicza;56;6
2;1;4;5;Fizyka ska³ i gruntów;28;3
2;1;4;6;Maszyny i urz¹dzenia górnicze;42;4
2;1;4;7;Prawo geologiczne i górnicze z elementami praw pokrewnych;28;2
2;1;5;1;Hydrogeologia i odwadnianie;42;4
2;1;5;2;Aerologia górnicza;70;6
2;1;5;3;Budownictwo podziemne i tunelowe;56;4
2;1;5;4;Ochrona w³asnoœci intelektualnej;14;1
2;1;5;5;Projektowanie podziemnych robót górniczych;28;3
2;1;5;6;Systemy transportu w górnictwie podziemnym;28;3
2;1;5;7;Geomechanika;56;5
2;1;5;8;Technika i technologia przeróbki surowców w górnictwie podziemnym;28;4
2;1;5;9;Projektowanie odkrywkowych robót górniczych;28;3
2;1;5;10;Geotechnika;56;5
2;1;5;11;Systemy transportu w górnictwie odkrywkowym;28;3
2;1;5;12;Technika i technologia przeróbki surowców w górnictwie odkrywkowym;28;4
2;1;6;1;Systemy informacji przestrzennej;28;3
2;1;6;2;Zagro¿enia naturalne w górnictwie;56;5
2;1;6;3;Praktyka technologiczna;0;4
2;1;6;4;Odpady w technologiach górniczych;28;3
2;1;6;5;Technika podziemnej eksploatacji z³ó¿;56;5
2;1;6;6;Po¿ary podziemne;42;5
2;1;6;7;Systemy monitoringu œrodowiska;28;3
2;1;6;8;Technika odkrywkowej i otworowej eksploatacji z³ó¿;56;5
2;1;6;9;Zwa³owanie i rekultywacja;42;5
2;1;7;2;Projekt dyplomowy in¿ynierski;0;15
2;1;7;3;Mining and Reclamation;28;3
2;1;7;4;Górnictwo i œrodowisko ang.;28;3
2;1;7;5;Introduction to Rock Mechanics;28;3
2;1;7;6;Mining & Economy;28;3
2;1;7;7;Applied Geomechanics;28;3
2;1;7;8;Mine Water and Environment;28;3
2;1;7;9;Material engineering In underground and geotechnical construction;28;3
2;1;7;10;Hydraulics of Water Wells;28;3
2;1;7;11;Religie œwiata;28;2
2;1;7;12;Komunikacja interpersonalna;28;2
2;1;7;13;Spo³eczeñstwo 2.0 Cz³owiek w œwiecie nowych technologii;28;2
2;1;7;14;Wzbogacanie surowców a œrodowisko naturalne;28;3
2;1;7;15;Technika wodno-mu³owa;28;3
2;1;7;16;Flotacja w przeróbce surowców;28;3
2;1;7;17;Komputerowe wspomaganie projektowania w górnictwie podziemnym;28;2
2;1;7;18;Bezpieczeñstwo pracy i ratownictwo w górnictwie;42;3
2;1;7;19;Komputerowe wspomaganie projektowania  w górnictwie odkrywkowym;28;2
2;1;7;20;Zagospodarowanie terenów górniczych;42;3

